layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1363,0.0982,0.5933,0.4995,0.3508,0.3821,1.8258,
"[32, 32, 32]",0.1267,0.0971,0.6184,0.5606,0.4429,0.4478,2.0698,
"[32, 32, 32, 32]",0.1159,0.0924,0.643,0.5548,0.5245,0.5104,2.2327,
"[32, 32, 32, 32, 32]",0.1169,0.0931,0.6478,0.5765,0.5205,0.5065,2.2513,MAX
"[32, 32, 32, 32, 32, 32]",0.1237,0.096,0.6357,0.5548,0.5061,0.5023,2.199,
"[64, 64]",0.1253,0.0947,0.6192,0.5315,0.4596,0.4495,2.0597,
"[64, 64, 64]",0.1196,0.0928,0.6181,0.5228,0.4726,0.4531,2.0666,
"[64, 64, 64, 64]",0.1262,0.0957,0.6315,0.5601,0.4722,0.4492,2.113,
"[64, 64, 64, 64, 64]",0.1175,0.093,0.6513,0.5755,0.5116,0.5121,2.2505,
"[64, 64, 64, 64, 64, 64]",0.1247,0.0971,0.637,0.5587,0.4962,0.4979,2.1898,
"[128, 128]",0.1278,0.0969,0.6061,0.5256,0.3835,0.3973,1.9125,
"[128, 128, 128]",0.1204,0.0927,0.6133,0.5404,0.4632,0.4512,2.0682,
"[128, 128, 128, 128]",0.1213,0.0942,0.6235,0.5481,0.465,0.4761,2.1126,
"[128, 128, 128, 128, 128]",0.1204,0.0951,0.6322,0.5655,0.5,0.4979,2.1956,
"[128, 128, 128, 128, 128, 128]",0.1309,0.0998,0.6124,0.5421,0.4264,0.3808,1.9617,
