layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1293,0.0968,0.6019,0.5335,0.36,0.4158,1.9112,
"[32, 32, 32]",0.1184,0.0935,0.6238,0.557,0.4526,0.468,2.1014,
"[32, 32, 32, 32]",0.1149,0.0911,0.6406,0.5676,0.4932,0.4799,2.1813,
"[32, 32, 32, 32, 32]",0.1169,0.0926,0.6467,0.5692,0.5046,0.495,2.2154,
"[32, 32, 32, 32, 32, 32]",0.1174,0.0931,0.6483,0.5732,0.519,0.5119,2.2523,MAX
"[64, 64]",0.1445,0.1029,0.6076,0.5421,0.348,0.4364,1.9341,
"[64, 64, 64]",0.1156,0.0924,0.6341,0.5628,0.4766,0.4653,2.1389,
"[64, 64, 64, 64]",0.114,0.0914,0.6407,0.5701,0.4747,0.4797,2.1651,
"[64, 64, 64, 64, 64]",0.1201,0.0947,0.6487,0.5666,0.505,0.5009,2.2212,
"[64, 64, 64, 64, 64, 64]",0.1148,0.0919,0.6427,0.5788,0.4983,0.4917,2.2115,
"[128, 128]",0.12,0.0934,0.6281,0.5575,0.47,0.455,2.1106,
"[128, 128, 128]",0.1184,0.0933,0.6277,0.555,0.4829,0.4677,2.1333,
"[128, 128, 128, 128]",0.1175,0.0929,0.6437,0.5674,0.5041,0.4926,2.2079,
"[128, 128, 128, 128, 128]",0.1154,0.0913,0.65,0.5764,0.4942,0.4951,2.2156,
"[128, 128, 128, 128, 128, 128]",0.1305,0.0963,0.5788,0.5428,0.3769,0.3738,1.8723,
