layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1298,0.0988,0.5879,0.491,0.2689,0.3763,1.7242,
"[32, 32, 32]",0.1091,0.0886,0.6583,0.5803,0.5087,0.4943,2.2416,
"[32, 32, 32, 32]",0.11,0.0887,0.6576,0.5782,0.508,0.5091,2.2529,MAX
"[32, 32, 32, 32, 32]",0.1136,0.0911,0.6387,0.5698,0.4933,0.4846,2.1864,
"[64, 64]",0.1288,0.0991,0.5844,0.4782,0.2469,0.3675,1.6769,
"[64, 64, 64]",0.1149,0.0901,0.6427,0.5767,0.4881,0.4828,2.1903,
"[64, 64, 64, 64]",0.1105,0.0896,0.6396,0.573,0.5059,0.4827,2.2011,
"[64, 64, 64, 64, 64]",0.1351,0.102,0.5891,0.5352,0.3578,0.388,1.87,
"[128, 128]",0.1275,0.098,0.5833,0.5157,0.3449,0.4151,1.8591,
"[128, 128, 128]",0.1155,0.0915,0.6305,0.5668,0.4866,0.4719,2.1558,
"[128, 128, 128, 128]",0.1139,0.0904,0.6395,0.5635,0.4796,0.4755,2.1581,
"[128, 128, 128, 128, 128]",0.1091,0.0885,0.6524,0.5861,0.4956,0.4875,2.2216,
