layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1486,0.1064,0.4105,0.4844,0.245,0.2178,1.3577,
"[32, 32, 32]",0.126,0.0959,0.5995,0.514,0.3249,0.4257,1.864,
"[32, 32, 32, 32]",0.1155,0.0923,0.6407,0.569,0.4996,0.4928,2.2022,
"[32, 32, 32, 32, 32]",0.1121,0.0909,0.6486,0.5849,0.5235,0.5092,2.2662,
"[32, 32, 32, 32, 32, 32]",0.1219,0.0953,0.6239,0.575,0.4914,0.4852,2.1755,
"[64, 64]",0.1483,0.1075,0.3977,0.4534,0.2325,0.1945,1.2781,
"[64, 64, 64]",0.115,0.0912,0.644,0.5656,0.4837,0.4544,2.1478,
"[64, 64, 64, 64]",0.1147,0.0893,0.6415,0.5849,0.4965,0.4818,2.2047,
"[64, 64, 64, 64, 64]",0.1112,0.0897,0.665,0.6005,0.5185,0.5078,2.2918,MAX
"[64, 64, 64, 64, 64, 64]",0.1156,0.0906,0.6416,0.5822,0.4908,0.4942,2.2088,
"[128, 128]",0.149,0.1071,0.4046,0.4848,0.2714,0.2001,1.3608,
"[128, 128, 128]",0.1325,0.0977,0.6133,0.531,0.3765,0.4044,1.9253,
"[128, 128, 128, 128]",0.1114,0.0891,0.6619,0.5856,0.5091,0.5028,2.2594,
"[128, 128, 128, 128, 128]",0.1167,0.0919,0.6417,0.5889,0.5017,0.496,2.2282,
"[128, 128, 128, 128, 128, 128]",0.1136,0.0898,0.632,0.5769,0.4898,0.4919,2.1906,
